"lon","lat","layer","bioregion"
4.7,41.6,"bathypelagic",5
4.7,41.8,"bathypelagic",5
4.7,42,"bathypelagic",5
4.7,42.2,"bathypelagic",5
4.7,42.4,"bathypelagic",5
4.7,42.6,"bathypelagic",5
4.7,42.8,"bathypelagic",9
4.7,43,"bathypelagic",NA
4.7,43.2,"bathypelagic",NA
4.9,37,"bathypelagic",9
4.9,37.2,"bathypelagic",9
4.9,37.4,"bathypelagic",9
4.9,37.6,"bathypelagic",9
4.9,37.8,"bathypelagic",9
4.9,38,"bathypelagic",9
4.9,38.2,"bathypelagic",9
4.9,38.4,"bathypelagic",9
4.9,38.6,"bathypelagic",9
4.9,38.8,"bathypelagic",9
4.9,39,"bathypelagic",9
4.9,39.2,"bathypelagic",9
